"date","team1","team1Text","team2","team2Text","venue","IdCupSeason","CupName","team1Score","team2Score","statText","resText","team1PenScore","team2PenScore"
"19500308","WAL","Wales","NIR","Northern Ireland","Cardiff, Wales","6","FIFA competition team qualification",0,0,"","0-0",,
"19500402","ESP","Spain","POR","Portugal","Madrid, Spain","6","FIFA competition team qualification",5,1,"","5-1",,
"19500409","POR","Portugal","ESP","Spain","Lisbon, Portugal","6","FIFA competition team qualification",2,2,"","2-2",,
"19500415","SCO","Scotland","ENG","England","Glasgow, Scotland","6","FIFA competition team qualification",0,1,"","0-1",,
"19500624","BRA","Brazil","MEX","Mexico","Rio De Janeiro, Brazil","7","FIFA competition team final",4,0,"","4-0",,
"19500625","ENG","England","CHI","Chile","Rio De Janeiro, Brazil","7","FIFA competition team final",2,0,"","2-0",,
"19500625","ESP","Spain","USA","USA","Curitiba, Brazil","7","FIFA competition team final",3,1,"","3-1",,
"19500625","SWE","Sweden","ITA","Italy","Sao Paulo, Brazil","7","FIFA competition team final",3,2,"","3-2",,
"19500625","YUG","Yugoslavia","SUI","Switzerland","Belo Horizonte, Brazil","7","FIFA competition team final",3,0,"","3-0",,
"19500628","BRA","Brazil","SUI","Switzerland","Sao Paulo, Brazil","7","FIFA competition team final",2,2,"","2-2",,
"19500628","YUG","Yugoslavia","MEX","Mexico","Porto Alegre, Brazil","7","FIFA competition team final",4,1,"","4-1",,
"19500629","ESP","Spain","CHI","Chile","Rio De Janeiro, Brazil","7","FIFA competition team final",2,0,"","2-0",,
"19500629","SWE","Sweden","PAR","Paraguay","Curitiba, Brazil","7","FIFA competition team final",2,2,"","2-2",,
"19500629","USA","USA","ENG","England","Belo Horizonte, Brazil","7","FIFA competition team final",1,0,"","1-0",,
"19500701","BRA","Brazil","YUG","Yugoslavia","Rio De Janeiro, Brazil","7","FIFA competition team final",2,0,"","2-0",,
"19500702","ESP","Spain","ENG","England","Rio De Janeiro, Brazil","7","FIFA competition team final",1,0,"","1-0",,
"19500702","ITA","Italy","PAR","Paraguay","Sao Paulo, Brazil","7","FIFA competition team final",2,0,"","2-0",,
"19500702","URU","Uruguay","BOL","Bolivia","Belo Horizonte, Brazil","7","FIFA competition team final",8,0,"","8-0",,
"19500702","SUI","Switzerland","MEX","Mexico","Porto Alegre, Brazil","7","FIFA competition team final",2,1,"","2-1",,
"19500702","CHI","Chile","USA","USA","Recife, Brazil","7","FIFA competition team final",5,2,"","5-2",,
"19500709","BRA","Brazil","SWE","Sweden","Rio De Janeiro, Brazil","7","FIFA competition team final",7,1,"","7-1",,
"19500709","URU","Uruguay","ESP","Spain","Sao Paulo, Brazil","7","FIFA competition team final",2,2,"","2-2",,
"19500713","URU","Uruguay","SWE","Sweden","Sao Paulo, Brazil","7","FIFA competition team final",3,2,"","3-2",,
"19500713","BRA","Brazil","ESP","Spain","Rio De Janeiro, Brazil","7","FIFA competition team final",6,1,"","6-1",,
"19500716","URU","Uruguay","BRA","Brazil","Rio De Janeiro, Brazil","7","FIFA competition team final",2,1,"","2-1",,
"19500716","SWE","Sweden","ESP","Spain","Sao Paulo, Brazil","7","FIFA competition team final",3,1,"","3-1",,
"19500217","EGY","Egypt","GRE","Greece","Cairo, Egypt","2000010101","Friendly",2,0,"","2-0",,
"19500225","SLV","El Salvador","HAI","Haiti","Guatemala City, Guatemala","2000010101","Friendly",1,0,"","1-0",,
"19500226","SLV","El Salvador","CRC","Costa Rica","Guatemala City, Guatemala","2000010101","Friendly",0,1,"","0-1",,
"19500227","CRC","Costa Rica","CUW","Curacao","Guatemala City, Guatemala","2000010101","Friendly",1,0,"","1-0",,
"19500227","GUA","Guatemala","COL","Colombia","Guatemala City, Guatemala","2000010101","Friendly",2,1,"","2-1",,
"19500228","NCA","Nicaragua","HAI","Haiti","Guatemala City, Guatemala","2000010101","Friendly",2,4,"","2-4",,
"19500301","SLV","El Salvador","CUW","Curacao","Guatemala City, Guatemala","2000010101","Friendly",1,1,"","1-1",,
"19500304","GUA","Guatemala","HON","Honduras","Guatemala City, Guatemala","2000010101","Friendly",0,1,"","0-1",,
"19500305","ITA","Italy","BEL","Belgium","Bologna, Italy","2000010101","Friendly",3,1,"","3-1",,
"19500306","HAI","Haiti","CUW","Curacao","Guatemala City, Guatemala","2000010101","Friendly",0,3,"","0-3",,
"19500307","SLV","El Salvador","NCA","Nicaragua","Guatemala City, Guatemala","2000010101","Friendly",4,1,"","4-1",,
"19500309","NCA","Nicaragua","CUW","Curacao","Guatemala City, Guatemala","2000010101","Friendly",1,11,"","1-11",,
"19500310","HON","Honduras","COL","Colombia","Guatemala City, Guatemala","2000010101","Friendly",2,0,"","2-0",,
"19500312","HON","Honduras","SLV","El Salvador","Guatemala City, Guatemala","2000010101","Friendly",2,1,"","2-1",,
"19500312","GUA","Guatemala","CUW","Curacao","Guatemala City, Guatemala","2000010101","Friendly",0,2,"","0-2",,
"19500314","HON","Honduras","CUW","Curacao","Guatemala City, Guatemala","2000010101","Friendly",1,2,"","1-2",,
"19500314","GUA","Guatemala","SLV","El Salvador","Guatemala City, Guatemala","2000010101","Friendly",2,0,"","2-0",,
"19500316","SLV","El Salvador","CUW","Curacao","Guatemala City, Guatemala","2000010101","Friendly",3,1,"","3-1",,
"19500319","AUT","Austria","SUI","Switzerland","Vienna, Austria","2000010101","Friendly",3,3,"","3-3",,
"19500325","ARG","Argentina","PAR","Paraguay","Buenos Aires, Argentina","2000010101","Friendly",2,2,"","2-2",,
"19500329","ARG","Argentina","PAR","Paraguay","Buenos Aires, Argentina","2000010101","Friendly",4,0,"","4-0",,
"19500402","AUT","Austria","ITA","Italy","Vienna, Austria","2000010101","Friendly",1,0,"","1-0",,
