"","Team","Previous..titles","Previous..finals","Previous..semifinals","AverageTotalPoints","AverageLead","InverseAvgRank","WinChance"
"1","Argentina",4.6,6.625,4.46153846153846,9.20043851045497,7.63653761309394,6.09382020539915,7.07135292839086
"2","Australia",1,1,1,2.78524267946134,8.50307751974746,1.28094324377576,3.39231586074614
"3","Belgium",1,1,1.69230769230769,7.36377496418169,5.55759020412761,1.64458006932887,3.96071707864031
"4","Brazil",10,8.875,8.61538461538461,8.23477123283444,10,10,9.30773126974707
"5","Croatia",1,1,1.69230769230769,6.11913352150287,7.1970951348229,2.0366953959874,4.15746178230906
"6","Denmark",1,1,1,4.65366116500756,5.72250135192089,2.1265269269622,3.37567236097266
"7","Egypt",1,1,1,3.01311097308386,6.03749534421371,1.53375692626181,2.89609081088984
"8","England",2.8,2.125,2.38461538461538,6.80836043133083,8.43340422336542,3.44602220832508,5.26290825421687
"9","France",2.8,3.25,4.46153846153846,6.38299961441444,7.1727089355783,3.97187125672273,5.29304879783271
"10","Germany",8.2,10,10,10,9.32869956992496,6.46543541378437,8.85853374592733
"11","Iceland",1,1,1,2.9890361744521,1,1.11689482802572,1.52648275061945
"12","Japan",1,1,1,3.09954102194007,7.05158125385418,1.512602487215,3.16593119075231
"13","Mexico",1,1,1,5.44797095799388,6.94381691983983,2.67437895135653,4.01654170729756
"14","Morocco",1,1,1,1.70109670180686,6.02111487007749,1.31955851589395,2.51044252194457
"15","Nigeria",1,1,1,2.74839247714421,6.14491685852363,1.42617744713205,2.82987169569997
"16","Panama",1,1,1,2.50253326517893,2.33206651358997,1,1.70864994469222
"17","Peru",1,1,1,3.89617390582561,2.92580141867645,1.22078470861945,2.26069000828038
"18","Poland",1,1,2.38461538461538,3.85311957160629,6.22230989385838,1.45940548267791,3.27217027549718
"19","Russia",1,1,1.69230769230769,4.40477118672025,6.7883209683649,1.94196396977435,3.60299480044564
"20","Saudi Arabia",1,1,1,1,5.72657080319816,1.20927037891605,2.23396029552855
"21","Senegal",1,1,1,2.83443835934233,5.19923043552431,1.21489630326963,2.56214127453407
"22","Serbia",1,1,2.38461538461538,9.26311966383466,6.63428377090397,1.54618379069618,4.74935834482024
"23","Spain",2.8,2.125,2.38461538461538,9.03802540466087,8.24320764728239,6.22928151789069,6.46859018092002
"24","Sweden",1,2.125,3.76923076923077,4.2494114233357,7.05545350370895,1.99591000394468,3.96461680967041
"25","Switzerland",1,1,1,6.54408463159553,3.45339552805587,1.61223860756364,3.15242969180376
"26","Tunisia",1,1,1,3.31908854243339,4.83154037417274,1.47911265868124,2.65743539382184
"27","Uruguay",4.6,3.25,4.46153846153846,7.03613507767935,5.80266150108725,1.94677411254928,4.69754651898282
